Age,ClothingID,Rating,ClassName
44,861,1,Knits
50,1133,5,Outerwear
33,861,3,Knits
39,861,4,Knits
40,863,4,Knits
69,822,5,Blouses
23,822,2,Blouses
51,863,2,Knits
66,836,5,Blouses
47,836,4,Blouses
66,836,4,Blouses
23,836,5,Blouses
47,1081,5,Dresses
44,861,1,Knits
44,1081,3,Dresses
50,836,5,Blouses
61,1081,5,Dresses
32,1082,2,Dresses
52,863,4,Knits
51,1072,4,Dresses
32,1078,5,Dresses
37,850,2,Blouses
54,836,5,Blouses
33,861,5,Knits
63,966,5,Jackets
29,1196,5,Dresses
24,836,5,Blouses
50,923,3,Sweaters
34,1072,3,Dresses
71,1133,4,Outerwear
30,1133,5,Outerwear
52,966,4,Jackets
28,863,5,Knits
62,845,4,Blouses
39,1081,3,Dresses
46,861,4,Knits
36,966,5,Jackets
65,845,5,Blouses
35,861,4,Knits
31,966,4,Jackets
52,836,4,Blouses
34,126,4,Lounge
31,1008,5,Skirts
36,829,5,Blouses
39,828,4,Blouses
35,1126,5,Outerwear
51,1008,5,Skirts
39,829,3,Blouses
39,828,3,Blouses
39,1008,5,Skirts
47,1011,5,Skirts
64,1008,5,Skirts
38,1008,5,Skirts
36,1008,5,Skirts
39,1008,4,Skirts
53,829,3,Blouses
36,829,3,Blouses
44,829,3,Blouses
48,829,5,Blouses
37,1008,5,Skirts
43,523,3,Swim
53,829,4,Blouses
33,829,4,Blouses
39,1126,4,Outerwear
52,829,1,Blouses
64,829,4,Blouses
52,1008,5,Skirts
42,1126,4,Outerwear
35,829,3,Blouses
56,1020,5,Skirts
55,895,5,Fine gauge
40,862,5,Knits
47,1104,5,Dresses
36,670,5,Sleep
46,329,5,Sleep
66,670,4,Sleep
51,868,4,Knits
34,1020,5,Skirts
30,862,4,Knits
43,895,5,Fine gauge
52,895,5,Fine gauge
35,1094,2,Dresses
41,895,5,Fine gauge
39,895,5,Fine gauge
39,1020,4,Skirts
50,895,5,Fine gauge
27,1020,4,Skirts
33,895,2,Fine gauge
35,895,2,Fine gauge
34,1020,4,Skirts
41,596,5,Trend
54,1094,4,Dresses
41,1020,4,Skirts
47,895,4,Fine gauge
52,895,2,Fine gauge
46,895,5,Fine gauge
22,1020,5,Skirts
40,1098,3,Dresses
62,895,5,Fine gauge
26,862,5,Knits
38,1020,5,Skirts
53,895,5,Fine gauge
49,1020,3,Skirts
43,895,3,Fine gauge
36,895,5,Fine gauge
36,895,3,Fine gauge
63,895,5,Fine gauge
56,828,4,Blouses
48,1020,3,Skirts
43,862,5,Knits
44,1020,4,Skirts
40,895,5,Fine gauge
44,862,1,Knits
54,895,5,Fine gauge
72,1020,4,Skirts
52,1075,4,Dresses
47,1104,5,Dresses
67,1020,1,Skirts
39,1094,5,Dresses
46,305,2,Swim
64,828,5,Blouses
30,1094,5,Dresses
38,828,5,Blouses
36,895,4,Fine gauge
52,1020,5,Skirts
61,895,5,Fine gauge
29,647,5,Lounge
38,1025,4,Jeans
35,1025,5,Jeans
55,815,5,Blouses
57,1066,4,Pants
55,840,4,Blouses
39,1026,4,Jeans
39,840,5,Blouses
46,1066,5,Pants
37,840,2,Blouses
29,1030,5,Jeans
83,840,5,Blouses
29,1066,5,Pants
49,647,5,Lounge
42,1066,2,Pants
63,872,5,Knits
56,840,3,Blouses
55,1066,4,Pants
32,647,1,Lounge
26,1066,5,Pants
60,840,4,Blouses
48,1066,3,Pants
38,872,5,Knits
49,1066,3,Pants
41,1115,4,Outerwear
28,1030,5,Jeans
28,1018,4,Skirts
48,1026,5,Jeans
32,840,5,Blouses
29,1066,5,Pants
32,647,5,Lounge
28,840,5,Blouses
51,840,4,Blouses
44,840,5,Blouses
43,1018,4,Skirts
48,840,3,Blouses
37,824,5,Blouses
31,1115,5,Outerwear
50,840,5,Blouses
47,878,3,Knits
56,984,5,Jackets
25,1104,5,Dresses
63,878,4,Knits
54,1104,5,Dresses
28,984,4,Jackets
26,866,4,Knits
29,1104,5,Dresses
61,868,3,Knits
45,984,5,Jackets
39,984,5,Jackets
36,1104,5,Dresses
41,878,5,Knits
37,1182,5,Knits
55,868,5,Knits
83,868,5,Knits
35,868,3,Knits
38,565,5,Trend
35,984,5,Jackets
45,1104,5,Dresses
65,868,5,Knits
41,878,5,Knits
69,868,4,Knits
36,1104,5,Dresses
42,868,2,Knits
69,984,5,Jackets
46,878,2,Knits
55,984,5,Jackets
36,984,5,Jackets
71,984,5,Jackets
65,1024,5,Jeans
68,984,3,Jackets
43,984,5,Jackets
30,1104,5,Dresses
40,1024,5,Jeans
47,984,5,Jackets
39,1104,5,Dresses
34,984,5,Jackets
38,1104,4,Dresses
38,984,5,Jackets
36,895,5,Fine gauge
41,1104,5,Dresses
36,1131,3,Outerwear
47,984,5,Jackets
63,1104,5,Dresses
35,831,5,Blouses
35,984,4,Jackets
56,1104,5,Dresses
41,836,5,Blouses
37,1089,3,Dresses
34,844,3,Blouses
32,836,4,Blouses
60,836,3,Blouses
21,836,5,Blouses
59,836,5,Blouses
53,844,5,Blouses
27,936,5,Sweaters
62,895,5,Fine gauge
41,836,5,Blouses
50,831,5,Blouses
54,844,5,Blouses
47,895,5,Fine gauge
41,1066,5,Pants
43,844,2,Blouses
43,836,5,Blouses
23,836,4,Blouses
25,907,5,Fine gauge
51,836,5,Blouses
41,844,3,Blouses
49,1103,4,Dresses
46,866,5,Knits
29,907,5,Fine gauge
53,844,1,Blouses
66,895,5,Fine gauge
32,895,5,Fine gauge
74,1080,5,Dresses
63,831,5,Blouses
41,844,5,Blouses
40,844,4,Blouses
40,831,5,Blouses
32,836,5,Blouses
49,907,5,Fine gauge
44,844,3,Blouses
24,895,5,Fine gauge
70,895,5,Fine gauge
30,907,5,Fine gauge
47,844,5,Blouses
27,836,3,Blouses
36,844,2,Blouses
69,844,4,Blouses
52,844,5,Blouses
32,936,2,Sweaters
37,907,5,Fine gauge
32,936,5,Sweaters
42,831,1,Blouses
51,907,5,Fine gauge
34,862,3,Knits
37,836,3,Blouses
50,936,4,Sweaters
36,895,5,Fine gauge
65,836,3,Blouses
60,580,5,Lounge
46,895,5,Fine gauge
38,862,4,Knits
37,862,5,Knits
46,844,5,Blouses
29,836,2,Blouses
39,895,5,Fine gauge
25,836,5,Blouses
64,895,5,Fine gauge
57,895,5,Fine gauge
44,895,5,Fine gauge
44,836,5,Blouses
26,859,4,Knits
37,862,3,Knits
48,1049,5,Pants
35,862,5,Knits
67,1089,5,Dresses
24,1089,4,Dresses
59,1104,3,Dresses
47,127,4,Lounge
42,1104,3,Dresses
29,936,5,Sweaters
54,902,4,Fine gauge
41,995,2,Skirts
62,936,5,Sweaters
29,127,4,Lounge
38,1104,1,Dresses
25,1086,4,Dresses
33,936,5,Sweaters
34,746,3,Intimates
53,1081,4,Dresses
46,127,3,Lounge
33,936,3,Sweaters
40,127,3,Lounge
32,1035,5,Jeans
38,902,4,Fine gauge
62,995,5,Skirts
35,1104,5,Dresses
34,1089,5,Dresses
26,1086,3,Dresses
31,902,2,Fine gauge
58,902,5,Fine gauge
40,1094,5,Dresses
22,1086,3,Dresses
55,936,5,Sweaters
66,1036,4,Jeans
39,936,5,Sweaters
30,1094,5,Dresses
53,1094,5,Dresses
23,1086,5,Dresses
37,127,5,Lounge
51,127,5,Lounge
37,1083,4,Dresses
35,872,5,Knits
35,1083,2,Dresses
40,831,5,Blouses
32,1080,3,Dresses
68,1077,5,Dresses
65,872,4,Knits
37,964,5,Jackets
39,1089,3,Dresses
22,872,4,Knits
50,1083,5,Dresses
33,829,4,Blouses
33,964,5,Jackets
38,1089,5,Dresses
32,829,5,Blouses
51,829,5,Blouses
56,967,5,Jackets
38,829,4,Blouses
35,829,4,Blouses
48,872,4,Knits
31,872,4,Knits
38,149,4,Lounge
58,964,5,Jackets
63,1030,5,Jeans
40,964,5,Jackets
41,1083,4,Dresses
60,872,4,Knits
60,872,5,Knits
48,829,4,Blouses
70,872,4,Knits
27,964,5,Jackets
32,1089,3,Dresses
26,872,3,Knits
51,872,5,Knits
48,872,5,Knits
30,1077,2,Dresses
56,967,4,Jackets
27,872,5,Knits
44,964,5,Jackets
39,872,5,Knits
33,234,5,Swim
33,149,4,Lounge
60,829,4,Blouses
44,829,4,Blouses
71,872,5,Knits
44,872,5,Knits
52,850,5,Blouses
23,850,3,Blouses
69,724,4,Intimates
48,833,5,Blouses
35,862,5,Knits
59,850,5,Blouses
61,1078,5,Dresses
45,850,5,Blouses
25,1104,5,Dresses
33,1078,3,Dresses
40,984,4,Jackets
68,850,5,Blouses
30,204,5,Intimates
20,1078,5,Dresses
42,862,2,Knits
52,1078,5,Dresses
42,984,5,Jackets
24,1008,4,Skirts
43,841,4,Blouses
51,1104,3,Dresses
39,850,5,Blouses
39,1081,5,Dresses
39,833,4,Blouses
57,850,4,Blouses
35,862,4,Knits
46,1078,5,Dresses
51,850,5,Blouses
39,850,5,Blouses
55,831,5,Blouses
42,833,5,Blouses
40,984,4,Jackets
31,1078,4,Dresses
39,1104,5,Dresses
59,1081,5,Dresses
53,833,4,Blouses
41,850,5,Blouses
49,1078,5,Dresses
33,850,3,Blouses
36,1078,2,Dresses
29,850,3,Blouses
49,850,4,Blouses
39,1078,5,Dresses
40,948,2,Sweaters
57,850,5,Blouses
56,833,4,Blouses
51,1078,3,Dresses
58,850,5,Blouses
67,1078,4,Dresses
36,1078,5,Dresses
27,850,5,Blouses
60,948,2,Sweaters
49,1078,5,Dresses
49,850,3,Blouses
35,1081,5,Dresses
60,833,5,Blouses
53,1081,5,Dresses
38,850,4,Blouses
48,850,2,Blouses
37,850,5,Blouses
42,984,5,Jackets
50,850,4,Blouses
41,1104,5,Dresses
39,1104,1,Dresses
26,1104,5,Dresses
25,1078,5,Dresses
34,850,5,Blouses
25,850,5,Blouses
31,984,3,Jackets
47,1078,5,Dresses
61,984,5,Jackets
52,850,5,Blouses
56,833,3,Blouses
68,1078,3,Dresses
39,850,5,Blouses
40,1081,4,Dresses
53,984,5,Jackets
45,850,5,Blouses
28,850,4,Blouses
33,1104,5,Dresses
71,1078,5,Dresses
46,984,5,Jackets
56,984,5,Jackets
36,1078,4,Dresses
35,1104,5,Dresses
58,984,5,Jackets
53,1078,5,Dresses
64,984,5,Jackets
45,833,3,Blouses
44,850,5,Blouses
52,1078,3,Dresses
49,1078,2,Dresses
52,984,5,Jackets
56,850,4,Blouses
45,1078,5,Dresses
35,984,5,Jackets
38,831,4,Blouses
32,1086,4,Dresses
39,1044,5,Pants
32,820,4,Blouses
35,1094,5,Dresses
34,1094,5,Dresses
48,995,5,Skirts
36,1094,4,Dresses
40,1060,5,Pants
47,833,1,Blouses
41,1037,4,Jeans
33,875,5,Knits
33,875,4,Knits
39,820,5,Blouses
54,1037,4,Jeans
44,820,4,Blouses
39,1037,5,Jeans
24,820,5,Blouses
65,833,1,Blouses
64,1094,5,Dresses
40,833,5,Blouses
39,995,4,Skirts
42,1094,3,Dresses
34,875,2,Knits
38,1037,3,Jeans
29,875,2,Knits
49,833,3,Blouses
39,1060,3,Pants
48,1094,4,Dresses
66,835,5,Blouses
25,1094,4,Dresses
36,1094,4,Dresses
46,875,2,Knits
37,823,5,Blouses
42,835,5,Blouses
26,833,4,Blouses
33,833,5,Blouses
52,820,5,Blouses
41,835,5,Blouses
25,1060,5,Pants
47,1037,3,Jeans
24,820,4,Blouses
32,1079,3,Dresses
44,1060,4,Pants
66,875,5,Knits
64,835,5,Blouses
39,1078,5,Dresses
42,1037,1,Jeans
35,820,5,Blouses
59,1072,5,Dresses
64,1094,3,Dresses
40,833,4,Blouses
22,1037,4,Jeans
53,1094,3,Dresses
34,995,2,Skirts
35,252,4,Swim
29,634,4,Lounge
24,985,5,Jackets
37,1059,5,Pants
65,985,5,Jackets
36,1059,5,Pants
35,634,4,Lounge
27,1059,5,Pants
36,252,4,Swim
28,634,5,Lounge
46,252,5,Swim
70,117,3,Legwear
57,117,5,Legwear
69,634,4,Lounge
28,252,5,Swim
36,252,5,Swim
40,634,4,Lounge
80,1059,5,Pants
44,838,4,Blouses
36,252,5,Swim
41,838,5,Blouses
48,838,1,Blouses
49,634,5,Lounge
42,1059,3,Pants
37,634,4,Lounge
38,1008,5,Skirts
58,838,5,Blouses
47,620,4,Shorts
36,634,5,Lounge
66,1059,5,Pants
51,1059,4,Pants
38,1059,5,Pants
40,634,4,Lounge
35,1059,2,Pants
36,634,4,Lounge
37,1059,1,Pants
30,985,4,Jackets
35,252,5,Swim
48,1059,5,Pants
49,1059,5,Pants
70,252,5,Swim
40,1059,5,Pants
38,1059,2,Pants
27,252,5,Swim
46,1008,5,Skirts
50,943,5,Sweaters
65,634,2,Lounge
22,1008,5,Skirts
93,252,5,Swim
43,838,5,Blouses
67,1059,5,Pants
45,1059,5,Pants
42,620,5,Shorts
58,1059,5,Pants
52,117,5,Legwear
25,252,5,Swim
35,252,4,Swim
37,634,4,Lounge
29,838,2,Blouses
29,1008,3,Skirts
47,1059,4,Pants
25,838,5,Blouses
39,634,5,Lounge
30,1059,5,Pants
34,1059,2,Pants
60,1059,3,Pants
45,1059,5,Pants
55,1008,5,Skirts
34,117,4,Legwear
36,886,4,Knits
62,1087,4,Dresses
57,873,5,Knits
23,1087,5,Dresses
37,886,4,Knits
68,745,5,Legwear
58,886,5,Knits
36,937,3,Sweaters
52,1087,5,Dresses
39,937,5,Sweaters
33,937,5,Sweaters
48,1059,5,Pants
23,1110,1,Dresses
38,1059,5,Pants
24,1110,4,Dresses
38,873,3,Knits
52,886,5,Knits
36,1087,5,Dresses
26,937,5,Sweaters
35,1110,2,Dresses
48,886,5,Knits
59,937,3,Sweaters
46,886,4,Knits
49,1137,5,Trend
31,1165,3,Swim
29,937,5,Sweaters
45,1110,2,Dresses
32,1087,5,Dresses
40,1059,5,Pants
69,1137,5,Trend
28,745,5,Legwear
74,937,4,Sweaters
48,1110,4,Dresses
35,1110,4,Dresses
50,886,5,Knits
38,937,5,Sweaters
42,886,5,Knits
45,937,5,Sweaters
38,937,5,Sweaters
51,873,5,Knits
38,937,5,Sweaters
46,886,5,Knits
30,873,5,Knits
45,886,5,Knits
31,245,5,Layering
36,886,5,Knits
49,886,4,Knits
39,1087,4,Dresses
48,937,5,Sweaters
55,1087,3,Dresses
36,1087,5,Dresses
25,886,4,Knits
47,1110,5,Dresses
41,886,5,Knits
38,1110,4,Dresses
29,1165,3,Swim
34,937,5,Sweaters
33,886,5,Knits
66,1137,3,Trend
29,1087,5,Dresses
44,937,5,Sweaters
47,886,4,Knits
39,886,4,Knits
44,1087,4,Dresses
40,937,3,Sweaters
39,937,1,Sweaters
50,886,4,Knits
52,1137,5,Trend
54,886,3,Knits
34,886,5,Knits
60,937,5,Sweaters
22,937,5,Sweaters
58,1087,5,Dresses
55,1087,4,Dresses
62,1087,3,Dresses
43,1087,2,Dresses
26,886,5,Knits
37,886,5,Knits
32,937,3,Sweaters
33,245,5,Layering
43,937,5,Sweaters
44,886,5,Knits
37,937,3,Sweaters
49,937,3,Sweaters
34,1087,4,Dresses
40,745,5,Legwear
42,745,4,Legwear
36,1087,3,Dresses
46,937,2,Sweaters
32,937,1,Sweaters
24,1110,4,Dresses
44,1087,4,Dresses
33,745,5,Legwear
38,1087,2,Dresses
42,1110,5,Dresses
35,1110,2,Dresses
52,873,5,Knits
38,895,5,Fine gauge
25,895,5,Fine gauge
56,895,5,Fine gauge
56,1072,2,Dresses
23,895,5,Fine gauge
53,945,1,Sweaters
47,895,3,Fine gauge
45,850,4,Blouses
33,945,5,Sweaters
56,895,4,Fine gauge
43,805,3,Lounge
49,850,5,Blouses
36,850,4,Blouses
58,895,3,Fine gauge
35,1072,5,Dresses
66,805,4,Lounge
43,945,1,Sweaters
42,833,3,Blouses
43,833,5,Blouses
54,833,5,Blouses
36,850,5,Blouses
43,833,4,Blouses
68,1072,5,Dresses
60,895,4,Fine gauge
32,850,5,Blouses
55,833,5,Blouses
39,895,5,Fine gauge
60,895,5,Fine gauge
42,833,4,Blouses
50,895,2,Fine gauge
23,886,2,Knits
39,886,3,Knits
32,886,5,Knits
56,886,5,Knits
61,1078,5,Dresses
34,1089,5,Dresses
48,895,3,Fine gauge
34,886,2,Knits
42,895,3,Fine gauge
49,1105,4,Dresses
29,886,4,Knits
43,886,2,Knits
63,886,3,Knits
34,969,5,Jackets
60,886,4,Knits
39,1078,5,Dresses
39,1060,4,Pants
32,886,5,Knits
39,886,2,Knits
54,895,3,Fine gauge
71,895,4,Fine gauge
46,886,3,Knits
30,895,2,Fine gauge
59,895,2,Fine gauge
26,1089,3,Dresses
46,886,5,Knits
31,895,4,Fine gauge
46,868,4,Knits
35,895,2,Fine gauge
61,886,2,Knits
34,886,4,Knits
55,886,2,Knits
36,1089,5,Dresses
46,1078,5,Dresses
49,895,4,Fine gauge
28,975,3,Jackets
74,975,5,Jackets
37,886,4,Knits
38,548,5,Trend
82,1078,5,Dresses
49,1060,1,Pants
41,886,4,Knits
35,886,5,Knits
23,886,5,Knits
37,886,5,Knits
41,1078,5,Dresses
56,1078,5,Dresses
42,1078,5,Dresses
30,895,5,Fine gauge
52,886,4,Knits
43,594,5,Lounge
29,895,3,Fine gauge
27,886,5,Knits
26,886,5,Knits
28,1089,5,Dresses
45,975,3,Jackets
29,886,5,Knits
47,1078,4,Dresses
28,895,5,Fine gauge
38,1060,2,Pants
64,895,5,Fine gauge
64,975,4,Jackets
52,886,5,Knits
52,975,5,Jackets
72,815,4,Blouses
43,1026,5,Jeans
39,823,2,Blouses
29,1055,2,Pants
47,1081,3,Dresses
28,2,4,Knits
51,1081,5,Dresses
35,936,5,Sweaters
66,1026,5,Jeans
50,1081,2,Dresses
37,299,5,Shorts
36,1055,4,Pants
43,1055,2,Pants
42,1026,5,Jeans
60,1010,4,Skirts
44,1086,4,Dresses
63,1055,2,Pants
26,1026,5,Jeans
42,1081,1,Dresses
48,754,5,Intimates
34,815,5,Blouses
32,1164,5,Layering
30,860,5,Knits
43,952,5,Sweaters
59,952,3,Sweaters
36,861,5,Knits
66,1008,4,Skirts
39,952,4,Sweaters
48,1066,4,Pants
52,1008,5,Skirts
30,1025,1,Jeans
40,832,3,Blouses
48,861,3,Knits
53,1066,3,Pants
29,1008,5,Skirts
46,1015,5,Skirts
46,1008,5,Skirts
40,862,5,Knits
44,1008,4,Skirts
56,952,5,Sweaters
69,1025,5,Jeans
47,1111,5,Dresses
21,1066,5,Pants
47,80,2,Swim
67,1008,3,Skirts
66,861,5,Knits
51,862,5,Knits
35,1066,5,Pants
41,1008,5,Skirts
46,1066,4,Pants
43,1066,5,Pants
43,1008,5,Skirts
36,861,5,Knits
41,1028,5,Jeans
55,1080,5,Dresses
52,1008,5,Skirts
50,1008,3,Skirts
77,952,5,Sweaters
39,952,5,Sweaters
57,1066,4,Pants
65,862,5,Knits
44,1015,5,Skirts
45,1066,5,Pants
60,1066,3,Pants
35,1066,5,Pants
46,1047,5,Pants
27,1094,3,Dresses
30,936,4,Sweaters
20,1033,5,Jeans
51,936,5,Sweaters
35,1094,5,Dresses
46,1094,2,Dresses
35,154,4,Sleep
41,1094,5,Dresses
39,1094,3,Dresses
40,154,4,Sleep
27,1140,5,Trend
40,154,2,Sleep
36,936,4,Sweaters
35,1094,4,Dresses
25,158,5,Legwear
37,1033,4,Jeans
29,154,4,Sleep
44,1094,5,Dresses
31,936,3,Sweaters
54,1094,5,Dresses
31,936,5,Sweaters
82,936,5,Sweaters
39,1154,5,Intimates
39,1022,4,Jeans
28,949,5,Sweaters
38,154,4,Sleep
37,1033,2,Jeans
41,154,4,Sleep
36,1140,3,Trend
55,936,5,Sweaters
43,1047,3,Pants
32,936,5,Sweaters
55,868,5,Knits
54,1094,5,Dresses
58,936,5,Sweaters
67,1094,1,Dresses
47,1033,5,Jeans
31,936,5,Sweaters
36,1094,5,Dresses
48,154,5,Sleep
21,936,4,Sweaters
29,1094,5,Dresses
50,154,5,Sleep
36,1094,3,Dresses
41,936,5,Sweaters
41,1094,5,Dresses
34,936,5,Sweaters
41,1094,5,Dresses
33,878,5,Knits
66,1145,5,Trend
45,1033,4,Jeans
31,936,5,Sweaters
68,936,5,Sweaters
65,936,5,Sweaters
51,1033,5,Jeans
69,878,3,Knits
48,1094,3,Dresses
41,936,3,Sweaters
70,1047,5,Pants
37,936,5,Sweaters
36,936,5,Sweaters
29,854,5,Knits
34,936,5,Sweaters
48,154,5,Sleep
63,1033,5,Jeans
49,1033,4,Jeans
35,936,3,Sweaters
30,1094,5,Dresses
35,936,4,Sweaters
83,936,5,Sweaters
67,1047,5,Pants
39,1094,5,Dresses
39,936,5,Sweaters
71,936,5,Sweaters
34,1047,5,Pants
37,1094,5,Dresses
59,936,3,Sweaters
40,936,5,Sweaters
27,1094,5,Dresses
28,936,3,Sweaters
44,1154,5,Intimates
47,936,5,Sweaters
42,936,5,Sweaters
31,936,5,Sweaters
26,868,4,Knits
59,854,1,Knits
33,936,5,Sweaters
47,949,4,Sweaters
46,1094,5,Dresses
24,936,5,Sweaters
34,1047,2,Pants
53,1083,4,Dresses
38,949,5,Sweaters
35,949,5,Sweaters
58,949,5,Sweaters
33,909,3,Fine gauge
67,949,5,Sweaters
32,873,5,Knits
59,873,5,Knits
82,909,5,Fine gauge
46,1083,5,Dresses
34,873,5,Knits
25,1172,5,Swim
35,1083,5,Dresses
42,949,5,Sweaters
35,949,5,Sweaters
41,909,4,Fine gauge
53,864,4,Knits
30,949,5,Sweaters
43,949,2,Sweaters
50,873,2,Knits
23,873,5,Knits
52,949,5,Sweaters
38,949,5,Sweaters
66,949,4,Sweaters
69,873,1,Knits
40,949,4,Sweaters
48,873,3,Knits
40,864,5,Knits
39,864,4,Knits
71,873,3,Knits
42,873,5,Knits
57,949,5,Sweaters
54,1083,4,Dresses
46,909,2,Fine gauge
23,949,5,Sweaters
44,949,2,Sweaters
45,949,5,Sweaters
22,864,5,Knits
35,864,5,Knits
52,873,5,Knits
50,1099,5,Dresses
48,1001,4,Skirts
41,829,4,Blouses
53,815,5,Blouses
57,1099,2,Dresses
20,831,5,Blouses
30,738,5,Swim
42,1099,4,Dresses
53,1094,5,Dresses
26,831,3,Blouses
39,1001,2,Skirts
47,895,5,Fine gauge
46,831,5,Blouses
33,895,5,Fine gauge
58,987,4,Skirts
49,1099,5,Dresses
52,1099,4,Dresses
55,868,4,Knits
27,831,5,Blouses
46,829,4,Blouses
41,1099,5,Dresses
26,829,2,Blouses
40,829,4,Blouses
29,868,3,Knits
72,831,5,Blouses
56,868,3,Knits
23,1001,4,Skirts
66,829,3,Blouses
31,815,5,Blouses
48,895,5,Fine gauge
54,831,1,Blouses
63,815,2,Blouses
32,1099,5,Dresses
77,1099,4,Dresses
40,829,5,Blouses
28,831,5,Blouses
39,815,4,Blouses
43,1076,1,Dresses
37,815,3,Blouses
44,831,5,Blouses
52,815,5,Blouses
33,831,5,Blouses
53,877,4,Knits
65,1068,3,Pants
62,1020,3,Skirts
45,1068,5,Pants
47,1020,1,Skirts
42,1068,5,Pants
38,691,4,Lounge
40,831,3,Blouses
39,1068,4,Pants
49,1089,2,Dresses
51,1089,4,Dresses
31,777,1,Lounge
41,860,3,Knits
52,1089,5,Dresses
64,875,5,Knits
39,992,5,Skirts
53,860,5,Knits
48,777,5,Lounge
64,777,5,Lounge
48,860,5,Knits
39,860,5,Knits
33,927,3,Sweaters
68,1089,4,Dresses
36,777,3,Lounge
62,992,4,Skirts
42,1068,2,Pants
37,1068,5,Pants
51,860,5,Knits
38,831,5,Blouses
59,1020,3,Skirts
56,1089,3,Dresses
63,1068,2,Pants
48,1089,3,Dresses
32,860,2,Knits
49,993,5,Skirts
62,860,5,Knits
33,777,5,Lounge
46,197,3,Swim
38,860,4,Knits
35,1068,3,Pants
35,860,5,Knits
26,860,4,Knits
31,1042,4,Pants
55,1060,5,Pants
45,59,5,Intimates
58,1060,5,Pants
39,1094,3,Dresses
46,1060,5,Pants
59,1110,5,Dresses
32,235,1,Swim
40,720,5,Lounge
68,1098,4,Dresses
68,59,5,Intimates
48,1060,4,Pants
62,1060,4,Pants
53,1110,5,Dresses
28,1082,5,Dresses
41,1060,3,Pants
38,1060,5,Pants
46,1060,5,Pants
49,1042,4,Pants
56,1060,5,Pants
37,1060,4,Pants
23,1110,5,Dresses
38,1060,3,Pants
28,235,2,Swim
29,1072,3,Dresses
53,1094,4,Dresses
39,1204,5,Pants
39,1204,4,Pants
31,1082,5,Dresses
43,1072,3,Dresses
21,1060,3,Pants
54,1098,4,Dresses
55,1060,5,Pants
63,1060,3,Pants
66,1060,4,Pants
27,1060,3,Pants
85,1060,5,Pants
64,1060,5,Pants
48,1072,4,Dresses
33,1094,2,Dresses
53,1082,2,Dresses
43,720,4,Lounge
26,1060,5,Pants
58,720,5,Lounge
38,1110,3,Dresses
50,1094,3,Dresses
52,1060,5,Pants
80,720,5,Lounge
37,720,5,Lounge
53,1060,5,Pants
62,1072,5,Dresses
38,1022,5,Jeans
59,1060,5,Pants
29,1094,2,Dresses
39,1042,5,Pants
36,1072,4,Dresses
27,1110,5,Dresses
72,1094,5,Dresses
32,1060,5,Pants
30,1060,5,Pants
34,868,5,Knits
42,1094,5,Dresses
52,1094,3,Dresses
50,1095,3,Dresses
44,1028,5,Jeans
37,1095,5,Dresses
30,850,5,Blouses
44,850,5,Blouses
59,850,5,Blouses
35,850,3,Blouses
57,940,5,Sweaters
43,868,2,Knits
40,1028,5,Jeans
42,1095,5,Dresses
59,868,5,Knits
31,1095,4,Dresses
62,850,5,Blouses
23,850,3,Blouses
38,1028,5,Jeans
38,1055,5,Pants
